iteration,suite,latency_ms,latency_ns,ciphertext_size,public_key_size,success,encap_variance,label,anomaly_type
6,ML-KEM-1024,0.6037423730757652,603742.3730757652,1568,1568,False,0.0,1,implicit_rejection
33,ML-KEM-768,0.568715236820891,568715.236820891,1088,1184,True,0.0,0,normal
15,ML-KEM-1024,0.5807861962993107,580786.1962993108,1568,1568,True,0.0,0,normal
72,ML-KEM-768,0.6368269109374086,636826.9109374086,1088,1184,True,0.0,0,normal
78,ML-KEM-768,0.5984073574499854,598407.3574499855,1088,1184,True,0.0,0,normal
113,ML-KEM-768,0.6159720433511338,615972.0433511337,1088,1184,True,0.0,0,normal
43,Classical,0.3088393033314289,308839.3033314289,32,32,True,0.0,0,normal
69,ML-KEM-1024,0.6170291926315103,617029.1926315103,1568,1568,True,0.0,0,normal
30,Classical,0.3197965756153335,319796.57561533345,32,32,True,0.0,0,normal
9,ML-KEM-768,0.5986087359419916,598608.7359419916,1088,1184,True,0.0,0,normal
90,Classical,0.30355144784987187,303551.4478498719,32,32,True,0.0,0,normal
12,ML-KEM-1024,0.5839455636375506,583945.5636375506,1548,1568,True,0.0,1,ciphertext_tampering
65,Classical,0.28697522409680604,286975.224096806,32,32,True,0.0,0,normal
0,ML-KEM-1024,0.5802261344325593,580226.1344325594,1568,1568,False,0.0,1,implicit_rejection
82,ML-KEM-768,0.5924972834141431,592497.2834141431,1088,1184,True,0.0,0,normal
7,ML-KEM-1024,0.5767605666348926,576760.5666348926,1568,1513,True,0.0,1,public_key_tampering
30,ML-KEM-768,0.6068930661113205,606893.0661113205,1088,1184,True,0.0,0,normal
101,ML-KEM-768,0.5927942368004172,592794.2368004172,1088,1184,True,0.0,0,normal
9,ML-KEM-768,0.6190379284276658,619037.9284276658,1088,1088,True,0.0,1,public_key_tampering
64,ML-KEM-1024,0.5801055928729804,580105.5928729804,1568,1568,True,0.0,0,normal
8,ML-KEM-768,17.307937348133123,17307937.348133124,1088,1184,True,0.0,1,timing_moderate
17,Classical,0.2627779115647206,262777.91156472056,32,32,True,0.0,0,normal
56,ML-KEM-1024,0.5765454314840065,576545.4314840065,1568,1568,True,0.0,0,normal
8,ML-KEM-1024,17.225345541929528,17225345.541929528,1568,1568,True,0.0,1,timing_moderate
0,ML-KEM-768,0.5365667050053656,536566.7050053657,1088,1184,True,0.0,0,normal
115,Classical,0.2679310475881985,267931.0475881985,32,32,True,0.0,0,normal
11,ML-KEM-768,0.6126751264968212,612675.1264968212,1088,1184,True,0.0,0,normal
93,ML-KEM-768,0.5730253413467509,573025.3413467509,1088,1184,True,0.0,0,normal
45,Classical,0.2976617208095212,297661.7208095212,32,32,True,0.0,0,normal
79,ML-KEM-1024,0.640698313049209,640698.313049209,1568,1568,True,0.0,0,normal
34,Classical,0.25567195252248737,255671.95252248738,32,32,True,0.0,0,normal
66,ML-KEM-1024,0.5632320596840833,563232.0596840833,1568,1568,True,0.0,0,normal
3,ML-KEM-1024,0.5868996950850658,586899.6950850658,1493,1568,True,0.0,1,ciphertext_tampering
93,ML-KEM-1024,0.6399577815650519,639957.7815650519,1568,1568,True,0.0,0,normal
55,ML-KEM-768,0.5471101747072667,547110.1747072667,1088,1184,True,0.0,0,normal
111,ML-KEM-1024,0.6159994363910685,615999.4363910685,1568,1568,True,0.0,0,normal
18,ML-KEM-768,0.55965127227268,559651.27227268,1088,1184,True,0.0,0,normal
14,ML-KEM-1024,0.5965415283700216,596541.5283700216,1662,1568,True,0.0,1,ciphertext_tampering
38,ML-KEM-1024,0.6009984620550857,600998.4620550857,1568,1568,True,0.0,0,normal
75,ML-KEM-768,0.5893893008762311,589389.300876231,1088,1184,True,0.0,0,normal
39,ML-KEM-768,0.5580668259197769,558066.8259197768,1088,1184,True,0.0,0,normal
11,ML-KEM-768,0.6365018103021426,636501.8103021426,1183,1184,True,0.0,1,ciphertext_tampering
59,ML-KEM-1024,0.5828921787336194,582892.1787336194,1568,1568,True,0.0,0,normal
9,ML-KEM-1024,0.594333855330603,594333.855330603,1568,1568,False,0.0,1,implicit_rejection
79,ML-KEM-768,0.6723282681227096,672328.2681227096,1088,1184,True,0.0,0,normal
72,Classical,0.23520434814798566,235204.34814798567,32,32,True,0.0,0,normal
